區域,餐廳名稱,地址,菜系,電話,圖片,推薦類型
高雄,白玉樓,"前鎮區中華五路789號6樓 (夢時代), Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 841 8555,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c95b690315fa4afebdc5c0b14de1f8d6.jpeg,米其林推薦
高雄,貳哥食堂,"鼓山區青海路145號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 554 1123,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/720fb04a195e4d56ac18b374508ccf50.jpeg,必比登推介
高雄,Papillon,"前鎮區林森四路189號26樓 (承億酒店), Kaohsiung, 806, 臺灣","$$$$
                                    ·
                                

                                
                                    時尚法國菜",+886 7 331 8888,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f6509b15ab22420fb37f121d09d84122.jpeg,米其林推薦
高雄,前金肉燥飯,"前金區大同二路26號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 272 7263,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8a0b96960fa54389b109c4c11b783013.jpeg,必比登推介
高雄,仙桃素,"鼓山區明倫路496號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    素食",+886 7 522 7700,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/41c05d84cd2e41f19fb2f3d1a7cd8560.jpg,米其林推薦
高雄,春蘭割包,"新興區復興一路5號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 201 7806,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/dad3bde5192e4cee97a4dc71e8e304a7.jpg,必比登推介
高雄,J Parc,"三民區德興街1號, Kaohsiung, 80751, 臺灣","$$$
                                    ·
                                

                                
                                    創新菜",+886 7 323 0600,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/3e459d57773f40fdb2ed0ef11d468b0f.jpg,米其林推薦
高雄,蟳之屋,"新興區民生一路93號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    海鮮",+886 7 226 6127,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/0eb72ec6e12c4c819e28bd45f30a8cc6.jpeg,米其林推薦
高雄,鯷魚,"前鎮區林森三路116號, Kaohsiung, 806001, 臺灣","$$
                                    ·
                                

                                
                                    時尚歐陸菜",+886 965 829 037,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/cd113d55f3ea4e51805702201ecdee3c.jpeg,米其林推薦
高雄,永筵小館,"前金區成功一路528號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 966 205 757,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/87f666c8af094612a210e56eca87c084.jpeg,米其林推薦
高雄,Ukai-tei,"前鎮區中山二路199號3樓 (晶英國際行館), Kaohsiung, 臺灣","$$$$
                                    ·
                                

                                
                                    鐵板燒",+886 7 973 0122,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/0f513dd0162e4c2b85d25d28263aaf7d.jpg,米其林推薦
